_id,Neighborhood,Id,Total,Margin of Error; Total:,"Less than $10,000","Margin of Error; Total: - Less than $10,000","$10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","$15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","$20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","$25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","$30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","$35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","$40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","$45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","$50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","$60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","$75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","$100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","$125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","$150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","$200,000 or more","Margin of Error; Total: - $200,000 or more"
1,Allegheny Center,1,870,93,147,57,115,54,30,21,56,33,39,32,84,50,16,14,9,10,81,41,68,32,68,38,73,39,26,18,25,25,12,17,21,21
2,Allegheny West,2,146,36,0,10,3,7,4,6,15,10,20,15,12,16,0,10,16,13,4,6,7,10,4,8,11,10,20,17,0,10,9,13,21,24
3,Allentown,3,1069,132.4575404,190,82.13403679,78,42.82522621,78,80.30566605,117,73.60706488,79,64.54455825,64,49.2341345,93,47.67598976,82,66.96267617,44,36.98648402,57,42.81354926,103,50.24937811,36,32.01562119,31,42.94182111,14,27.85677655,0,17.32050808,3,16.24807681
4,Arlington,4,701,104.4653052,70,42.49705872,35,26.87005769,56,29.08607914,35,24.2899156,32,32.57299495,53,28.65309756,41,22.11334439,41,35.80502758,28,27.44084547,66,36.24913792,65,35.28455753,141,54.21254467,23,17.80449381,6,16.24807681,7,17.32050808,2,15
5,Arlington Heights,5,144,59,48,42,23,27,43,52,0,10,8,12,17,22,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10
6,Banksville,6,1946,229.2225992,51,43.58898944,72,75.82216035,155,83.04817879,45,44.10215414,49,43.0464865,176,124.1209088,140,104.2113238,82,59.78294071,45,40.11234224,201,91.08238029,284,136.9269878,251,108.1896483,126,71.33722731,156,91.28526716,64,45.44227107,49,53.31041174
7,Bedford Dwellings,7,723,53,307,75,129,50,91,48,60,32,77,55,22,22,23,22,0,10,0,10,10,12,4,6,0,10,0,10,0,10,0,10,0,10
8,Beechview,8,3567,258.0271304,269,102.5475499,136,64.82283548,244,100.0649789,241,94.70480452,339,119.6787366,167,83.42661446,221,91.67333309,306,120.7103972,138,59.38013136,309,99.2018145,328,102.2448043,427,114.0175425,279,102.9902908,87,50.18964037,45,40.58324778,31,36.24913792
9,Beltzhoover,9,848,156.0576816,132,88.14760348,182,95.51963149,63,44.44097209,23,26.32489316,94,54.64430437,62,43.53159772,28,35.17101079,50,43.09292285,24,27.60434748,90,66.00757532,35,38.58756276,43,36.9459064,7,20.51828453,0,20,15,23.19482701,0,20
10,Bloomfield,10,4571,205.4945255,521,117.940663,261,69.90708119,297,81.11103501,258,76.32823855,276,75.5314504,368,93.28987083,168,57.74080013,328,91.54233993,216,59.9082632,441,107.424392,362,98.93432165,519,103.754518,168,55.4887376,155,63.89835679,125,55.86591089,108,46.92547283
